Participant Number:,21
Test started on:,04/07/2016 04:27:44 PM
Current Task:,VR Task 1
Task Start:,03:28:21 PM
Heading, Roll, Pitch, Task Time
117.0,-4.125,-31.4375,0.03
117.0,-4.125,-31.4375,0.04
116.9375,-4.1875,-31.5,0.07
116.9375,-4.1875,-31.5,0.08
116.9375,-4.1875,-31.5625,0.11
116.9375,-4.1875,-31.5625,0.12
116.875,-4.25,-31.6875,0.15
116.875,-4.25,-31.6875,0.16
116.8125,-4.3125,-31.875,0.19
116.8125,-4.3125,-31.875,0.20
116.75,-4.3125,-32.0,0.23
116.75,-4.3125,-32.0,0.24
116.6875,-4.375,-32.125,0.27
116.625,-4.375,-32.25,0.28
116.625,-4.375,-32.25,0.31
116.5625,-4.375,-32.4375,0.32
116.5625,-4.375,-32.5625,0.35
116.5,-4.375,-32.75,0.36
116.5,-4.375,-32.875,0.39
116.5,-4.375,-32.875,0.40
116.5,-4.4375,-33.0,0.43
116.5,-4.4375,-33.0,0.44
116.5,-4.5,-33.125,0.47
116.4375,-4.5625,-33.25,0.48
116.375,-4.625,-33.3125,0.51
116.375,-4.625,-33.3125,0.51
116.375,-4.625,-33.3125,0.55
116.375,-4.75,-33.375,0.56
116.3125,-4.875,-33.4375,0.59
116.3125,-4.875,-33.4375,0.60
116.25,-5.0625,-33.5,0.63
116.1875,-5.25,-33.5625,0.64
116.0625,-5.375,-33.6875,0.67
116.0625,-5.375,-33.6875,0.68
116.0,-5.4375,-33.8125,0.71
116.0,-5.4375,-33.8125,0.72
115.9375,-5.5625,-33.9375,0.75
115.875,-5.6875,-34.0625,0.76
115.9375,-5.8125,-34.1875,0.79
115.9375,-5.8125,-34.375,0.80
115.9375,-5.8125,-34.5,0.83
115.9375,-5.8125,-34.5,0.84
115.9375,-5.75,-34.6875,0.87
115.9375,-5.75,-34.6875,0.88
115.9375,-5.625,-34.9375,0.91
115.9375,-5.5625,-35.1875,0.92
115.9375,-5.5,-35.3125,0.95
115.9375,-5.5,-35.3125,0.96
116.0,-5.375,-35.5,0.99
116.0625,-5.25,-35.6875,1.00
116.0625,-5.25,-35.6875,1.03
116.125,-5.125,-35.8125,1.04
116.1875,-5.0,-35.9375,1.07
116.25,-4.875,-36.0,1.08
116.25,-4.875,-36.0,1.11
116.375,-4.75,-36.125,1.12
116.4375,-4.625,-36.25,1.15
116.4375,-4.625,-36.25,1.16
116.5,-4.4375,-36.4375,1.19
116.5625,-4.25,-36.5,1.20
116.625,-4.125,-36.6875,1.23
116.625,-4.125,-36.6875,1.24
116.6875,-4.0,-36.875,1.27
116.6875,-3.9375,-37.125,1.28
116.6875,-3.9375,-37.125,1.31
116.6875,-3.8125,-37.3125,1.32
116.6875,-3.8125,-37.5,1.35
116.6875,-3.75,-37.6875,1.36
116.625,-3.6875,-37.875,1.39
116.625,-3.6875,-37.875,1.40
116.625,-3.625,-38.0,1.43
116.625,-3.625,-38.0,1.44
116.625,-3.5625,-38.125,1.47
116.625,-3.5625,-38.1875,1.48
116.6875,-3.5625,-38.25,1.51
116.6875,-3.5625,-38.25,1.52
116.75,-3.5625,-38.3125,1.55
116.75,-3.5625,-38.3125,1.56
116.8125,-3.5,-38.375,1.59
116.8125,-3.5,-38.375,1.60
116.9375,-3.5,-38.5,1.63
116.9375,-3.5,-38.5,1.64
117.0,-3.4375,-38.5625,1.67
117.0,-3.4375,-38.5625,1.68
117.0625,-3.375,-38.625,1.71
117.1875,-3.3125,-38.6875,1.72
117.1875,-3.3125,-38.6875,1.75
117.3125,-3.25,-38.75,1.76
117.4375,-3.125,-38.8125,1.79
117.625,-2.9375,-38.875,1.80
117.75,-2.75,-39.0,1.83
117.75,-2.75,-39.0,1.84
117.9375,-2.5,-39.0625,1.87
117.9375,-2.5,-39.0625,1.88
118.25,-2.0625,-39.1875,1.91
118.25,-2.0625,-39.1875,1.92
118.5,-1.9375,-39.25,1.95
118.5,-1.9375,-39.25,1.96
118.6875,-1.9375,-39.1875,1.99
118.8125,-1.9375,-39.1875,2.00
118.8125,-1.9375,-39.1875,2.03
119.0,-1.9375,-39.125,2.04
119.0625,-2.0625,-39.0625,2.07
119.0625,-2.125,-39.0,2.08
119.0625,-2.125,-39.0,2.11
119.0,-2.1875,-38.875,2.12
118.875,-2.1875,-38.8125,2.15
118.875,-2.1875,-38.8125,2.16
118.75,-2.1875,-38.8125,2.19
118.5,-2.0625,-38.8125,2.20
118.375,-1.9375,-38.75,2.23
118.375,-1.9375,-38.75,2.24
118.3125,-1.9375,-38.75,2.27
118.3125,-1.9375,-38.75,2.28
118.3125,-2.0,-38.75,2.31
118.3125,-2.0,-38.75,2.32
118.4375,-2.3125,-38.8125,2.35
118.4375,-2.3125,-38.8125,2.36
118.5625,-2.4375,-38.875,2.39
118.625,-2.4375,-39.0,2.40
118.8125,-2.5,-39.125,2.43
118.8125,-2.5,-39.125,2.44
118.9375,-2.5,-39.1875,2.47
119.1875,-2.625,-39.25,2.48
119.4375,-2.75,-39.1875,2.51
119.4375,-2.75,-39.1875,2.52
119.6875,-2.8125,-39.0625,2.55
119.6875,-2.8125,-39.0625,2.56
120.0,-2.9375,-38.9375,2.59
120.25,-2.9375,-38.6875,2.60
120.5,-2.875,-38.375,2.63
120.5,-2.875,-38.375,2.64
121.25,-5.5625,-43.75,2.67
121.3125,-5.5625,-43.75,2.68
121.375,-5.5625,-43.75,2.71
121.375,-5.5625,-43.75,2.72
121.375,-5.5625,-43.75,2.75
121.4375,-5.5625,-43.8125,2.76
121.4375,-5.5625,-43.8125,2.79
121.4375,-5.5625,-43.8125,2.80
121.4375,-5.5625,-43.875,2.83
121.4375,-5.5625,-43.875,2.84
121.5,-5.5625,-43.875,2.87
121.5,-5.5625,-43.875,2.88
121.5,-5.5,-43.875,2.91
121.5,-5.5,-43.875,2.92
121.5,-5.5,-43.875,2.95
121.5,-5.5,-43.875,2.96
121.5625,-5.5,-43.8125,2.99
121.5625,-5.5,-43.8125,3.00
121.5625,-5.4375,-43.8125,3.03
121.5625,-5.4375,-43.75,3.04
121.5625,-5.4375,-43.75,3.07
121.5625,-5.4375,-43.75,3.08
121.5625,-5.4375,-43.75,3.11
121.5625,-5.4375,-43.6875,3.12
121.5625,-5.4375,-43.6875,3.15
121.5625,-5.4375,-43.6875,3.16
121.5625,-5.4375,-43.75,3.19
121.5,-5.375,-43.75,3.20
121.4375,-5.375,-43.75,3.23
121.4375,-5.375,-43.75,3.24
121.4375,-5.375,-43.8125,3.27
121.375,-5.375,-43.8125,3.28
121.375,-5.375,-43.875,3.31
121.3125,-5.375,-43.9375,3.32
121.25,-5.3125,-44.0,3.35
121.25,-5.3125,-44.0,3.36
121.25,-5.3125,-44.0625,3.39
121.1875,-5.3125,-44.1875,3.40
121.1875,-5.3125,-44.1875,3.43
121.125,-5.3125,-44.25,3.44
121.125,-5.3125,-44.3125,3.47
121.0625,-5.3125,-44.375,3.48
121.0625,-5.3125,-44.375,3.51
121.0,-5.3125,-44.375,3.52
120.9375,-5.25,-44.4375,3.55
120.9375,-5.25,-44.4375,3.56
120.875,-5.25,-44.4375,3.59
120.875,-5.25,-44.4375,3.60
120.8125,-5.1875,-44.4375,3.63
120.8125,-5.1875,-44.4375,3.64
120.75,-5.125,-44.5,3.67
120.625,-5.0625,-44.5,3.68
120.5625,-5.0,-44.5,3.71
120.5,-5.0,-44.5,3.72
120.4375,-4.9375,-44.5625,3.75
120.4375,-4.9375,-44.5625,3.76
120.375,-4.875,-44.5625,3.79
120.3125,-4.8125,-44.5625,3.80
120.25,-4.75,-44.5625,3.83
120.125,-4.6875,-44.5625,3.84
120.0625,-4.625,-44.5625,3.87
120.0625,-4.625,-44.5625,3.88
120.0,-4.5625,-44.5625,3.91
119.9375,-4.5,-44.5625,3.92
119.9375,-4.5,-44.5625,3.95
119.875,-4.4375,-44.5625,3.96
119.875,-4.375,-44.5625,3.99
119.875,-4.375,-44.5625,4.00
119.8125,-4.375,-44.5625,4.03
119.8125,-4.375,-44.625,4.04
119.8125,-4.3125,-44.625,4.07
119.8125,-4.3125,-44.625,4.08
119.875,-4.3125,-44.6875,4.11
119.875,-4.3125,-44.6875,4.12
119.875,-4.3125,-44.6875,4.15
119.875,-4.3125,-44.75,4.16
119.875,-4.25,-44.75,4.19
119.875,-4.25,-44.8125,4.20
119.9375,-4.1875,-44.8125,4.23
119.9375,-4.1875,-44.8125,4.24
119.9375,-4.1875,-44.875,4.27
119.9375,-4.125,-44.875,4.28
119.9375,-4.125,-44.9375,4.31
119.9375,-4.0625,-44.9375,4.32
119.875,-4.0625,-45.0,4.35
119.875,-4.0,-45.0,4.36
119.875,-3.9375,-45.0625,4.39
119.875,-3.9375,-45.0625,4.40
119.8125,-3.875,-45.125,4.43
119.8125,-3.875,-45.125,4.44
119.8125,-3.875,-45.125,4.47
119.75,-3.875,-45.1875,4.48
119.6875,-3.8125,-45.1875,4.51
119.6875,-3.8125,-45.1875,4.52
119.6875,-3.8125,-45.25,4.55
119.6875,-3.8125,-45.25,4.56
119.625,-3.75,-45.25,4.59
119.625,-3.75,-45.25,4.60
119.625,-3.75,-45.3125,4.63
119.625,-3.75,-45.3125,4.64
119.625,-3.75,-45.3125,4.67
119.625,-3.75,-45.3125,4.68
119.625,-3.75,-45.375,4.71
119.625,-3.75,-45.375,4.72
119.625,-3.75,-45.4375,4.75
119.625,-3.75,-45.4375,4.76
119.625,-3.75,-45.4375,4.79
119.625,-3.75,-45.4375,4.80
119.6875,-3.75,-45.4375,4.83
119.6875,-3.75,-45.4375,4.84
119.6875,-3.75,-45.5,4.87
119.6875,-3.75,-45.5,4.88
119.6875,-3.75,-45.5,4.91
119.6875,-3.75,-45.5,4.92
119.6875,-3.75,-45.5,4.95
119.6875,-3.6875,-45.5,4.96
119.6875,-3.6875,-45.5,4.99
119.6875,-3.6875,-45.5,5.00
119.6875,-3.6875,-45.5,5.03
119.6875,-3.6875,-45.5,5.04
119.625,-3.6875,-45.4375,5.07
119.625,-3.6875,-45.4375,5.08
119.625,-3.625,-45.4375,5.11
119.625,-3.625,-45.4375,5.12
119.5625,-3.625,-45.375,5.15
119.5625,-3.625,-45.375,5.16
119.5,-3.5625,-45.375,5.19
119.5,-3.5625,-45.375,5.20
119.4375,-3.5625,-45.375,5.23
119.4375,-3.5625,-45.375,5.24
119.375,-3.5,-45.375,5.27
119.375,-3.5,-45.375,5.28
119.3125,-3.4375,-45.375,5.31
119.3125,-3.4375,-45.375,5.32
119.25,-3.4375,-45.4375,5.35
119.25,-3.4375,-45.4375,5.36
119.125,-3.375,-45.4375,5.39
119.125,-3.375,-45.4375,5.40
119.0625,-3.375,-45.4375,5.43
119.0625,-3.375,-45.4375,5.44
119.0,-3.375,-45.5,5.47
119.0,-3.375,-45.5,5.48
118.9375,-3.375,-45.5,5.51
118.9375,-3.375,-45.5,5.52
118.9375,-3.375,-45.5625,5.55
118.875,-3.375,-45.5625,5.56
118.875,-3.375,-45.625,5.59
118.875,-3.375,-45.625,5.60
118.75,-3.3125,-45.625,5.63
118.75,-3.3125,-45.625,5.64
118.6875,-3.3125,-45.6875,5.67
118.625,-3.25,-45.6875,5.68
118.5625,-3.25,-45.75,5.71
118.5625,-3.25,-45.75,5.72
118.4375,-3.1875,-45.75,5.75
118.4375,-3.1875,-45.75,5.76
118.375,-3.1875,-45.8125,5.79
