Participant Number:,7
Test started on:,04/05/2016 11:08:25 AM
Current Task:,VR Task 1
Task Start:,10:12:28 AM
Heading, Roll, Pitch, Task Time
29.375,8.0625,-32.6875,0.01
29.375,8.0625,-32.6875,0.01
29.375,8.0625,-32.6875,0.01
29.5,8.25,-32.5625,0.06
29.6875,8.375,-32.5,0.09
24.5,7.25,-45.6875,0.11
24.4375,7.3125,-45.8125,0.13
24.4375,7.3125,-45.8125,0.15
24.375,7.375,-45.9375,0.17
24.3125,7.4375,-46.0,0.19
24.3125,7.4375,-46.0,0.21
24.1875,7.5,-46.0625,0.23
24.125,7.5625,-46.125,0.25
24.125,7.5625,-46.125,0.27
24.0,7.625,-46.1875,0.29
23.9375,7.75,-46.25,0.31
23.8125,7.8125,-46.375,0.33
23.8125,7.8125,-46.375,0.35
23.8125,7.8125,-46.375,0.35
23.8125,7.8125,-46.375,0.39
23.75,7.875,-46.5,0.41
23.625,8.0,-46.5625,0.43
23.5,8.0625,-46.6875,0.45
23.4375,8.1875,-46.8125,0.47
23.4375,8.1875,-46.8125,0.49
23.375,8.25,-47.0,0.51
23.25,8.3125,-47.0625,0.53
23.25,8.3125,-47.0625,0.55
23.1875,8.375,-47.1875,0.57
23.125,8.4375,-47.3125,0.59
23.0625,8.5,-47.375,0.61
23.0625,8.5,-47.375,0.63
23.0625,8.5625,-47.4375,0.66
23.0,8.625,-47.5,0.67
22.9375,8.625,-47.5625,0.69
22.9375,8.6875,-47.5625,0.71
22.875,8.75,-47.625,0.73
22.875,8.75,-47.625,0.75
22.875,8.8125,-47.6875,0.77
22.8125,8.8125,-47.75,0.79
22.8125,8.875,-47.8125,0.81
22.75,8.875,-47.8125,0.83
22.75,8.875,-47.875,0.85
22.75,8.875,-47.875,0.87
22.75,8.875,-47.9375,0.89
22.75,8.875,-48.0,0.91
22.75,8.875,-48.0,0.93
22.75,8.875,-48.0625,0.95
22.8125,8.875,-48.0625,0.97
22.8125,8.875,-48.0625,0.99
22.875,8.875,-48.125,1.01
22.875,8.875,-48.125,1.03
23.0,8.8125,-48.125,1.05
23.0625,8.8125,-48.125,1.07
