Participant Number:,9
Test started on:,04/05/2016 02:36:15 PM
Current Task:,NVRW Task 1
Task Start:,01:37:05 PM
Heading, Roll, Pitch, Task Time
140.1875,-2.25,-8.8125,0.06
139.8125,-2.3125,-9.0625,0.08
139.8125,-2.3125,-9.0625,0.11
139.8125,-2.3125,-9.0625,0.11
139.375,-2.375,-9.25,0.14
139.375,-2.375,-9.25,0.18
139.375,-2.375,-9.25,0.18
139.375,-2.375,-9.25,0.21
139.375,-2.375,-9.25,0.21
138.9375,-2.4375,-9.5,0.24
138.5625,-2.4375,-9.6875,0.28
138.5625,-2.4375,-9.6875,0.28
138.5625,-2.4375,-9.6875,0.31
138.5625,-2.4375,-9.6875,0.31
138.25,-2.5,-9.8125,0.35
138.25,-2.5,-9.8125,0.38
138.25,-2.5,-9.8125,0.38
137.9375,-2.5,-9.9375,0.41
137.9375,-2.5,-9.9375,0.41
137.9375,-2.5,-9.9375,0.45
137.9375,-2.5,-9.9375,0.45
137.9375,-2.5,-9.9375,0.48
137.6875,-2.5625,-10.0625,0.51
137.6875,-2.5625,-10.0625,0.51
137.6875,-2.5625,-10.0625,0.55
137.6875,-2.5625,-10.0625,0.55
137.4375,-2.625,-10.1875,0.58
137.4375,-2.625,-10.1875,0.61
137.4375,-2.625,-10.1875,0.61
137.3125,-2.75,-10.3125,0.64
137.3125,-2.75,-10.3125,0.64
137.3125,-2.75,-10.3125,0.68
137.125,-2.8125,-10.4375,0.71
137.125,-2.8125,-10.4375,0.71
137.125,-2.8125,-10.4375,0.74
137.0,-2.8125,-10.625,0.78
137.0,-2.8125,-10.625,0.78
137.0,-2.8125,-10.625,0.81
137.0,-2.8125,-10.625,0.81
137.0,-2.8125,-10.625,0.84
136.875,-2.875,-10.75,0.88
136.875,-2.875,-10.75,0.88
136.875,-2.875,-10.75,0.91
136.875,-2.875,-10.75,0.91
136.75,-2.875,-10.875,0.94
136.75,-2.875,-10.875,0.98
136.75,-2.875,-10.875,0.98
136.5625,-2.875,-11.0625,1.01
136.5625,-2.875,-11.0625,1.01
136.5625,-2.875,-11.0625,1.04
136.375,-2.875,-11.1875,1.08
136.375,-2.875,-11.1875,1.08
136.375,-2.875,-11.1875,1.11
136.375,-2.875,-11.1875,1.11
136.1875,-2.875,-11.3125,1.15
136.1875,-2.875,-11.3125,1.15
136.1875,-2.875,-11.3125,1.18
136.1875,-2.875,-11.3125,1.21
136.1875,-2.875,-11.3125,1.21
135.9375,-2.9375,-11.4375,1.24
135.9375,-2.9375,-11.4375,1.28
135.9375,-2.9375,-11.4375,1.28
135.75,-2.9375,-11.5625,1.31
135.75,-2.9375,-11.5625,1.31
135.75,-2.9375,-11.5625,1.34
