Participant Number:,1
Test started on:,04/04/2016 01:14:06 PM
Current Task:,NVR Task 3
Task Start:,12:16:31 PM
Heading, Roll, Pitch, Task Time
106.25,-7.9375,-60.125,0.06
106.25,-7.9375,-60.0625,0.08
106.25,-7.9375,-60.0625,0.11
106.25,-7.9375,-60.0625,0.11
106.25,-7.9375,-60.0625,0.15
106.25,-7.9375,-60.0625,0.15
106.25,-7.9375,-60.0625,0.18
106.3125,-7.875,-60.0,0.21
106.3125,-7.875,-60.0,0.21
106.3125,-7.875,-60.0,0.25
106.3125,-7.875,-60.0,0.25
106.3125,-7.875,-59.9375,0.28
106.3125,-7.875,-59.9375,0.31
106.3125,-7.875,-59.9375,0.31
106.3125,-7.875,-59.9375,0.35
106.3125,-7.875,-59.9375,0.35
106.375,-7.8125,-59.875,0.38
106.375,-7.8125,-59.875,0.41
106.375,-7.8125,-59.875,0.41
106.375,-7.8125,-59.875,0.45
106.375,-7.8125,-59.875,0.45
106.375,-7.8125,-59.875,0.48
106.375,-7.75,-59.8125,0.51
106.375,-7.75,-59.8125,0.51
106.375,-7.75,-59.8125,0.54
106.375,-7.75,-59.8125,0.54
106.4375,-7.75,-59.75,0.58
106.4375,-7.6875,-59.75,0.61
106.4375,-7.6875,-59.75,0.61
106.4375,-7.6875,-59.75,0.65
106.4375,-7.6875,-59.75,0.65
106.4375,-7.6875,-59.6875,0.68
106.4375,-7.6875,-59.6875,0.71
106.4375,-7.6875,-59.6875,0.71
106.4375,-7.6875,-59.6875,0.75
106.4375,-7.6875,-59.6875,0.75
106.4375,-7.625,-59.6875,0.78
106.4375,-7.625,-59.6875,0.81
106.4375,-7.625,-59.6875,0.81
106.4375,-7.625,-59.6875,0.84
106.4375,-7.625,-59.6875,0.84
106.4375,-7.625,-59.6875,0.88
106.4375,-7.625,-59.6875,0.91
106.4375,-7.625,-59.6875,0.91
106.4375,-7.625,-59.6875,0.95
106.4375,-7.625,-59.6875,0.95
106.4375,-7.5625,-59.6875,0.98
106.4375,-7.5625,-59.6875,1.01
106.4375,-7.5625,-59.6875,1.01
106.4375,-7.5625,-59.6875,1.05
106.4375,-7.5625,-59.6875,1.05
106.4375,-7.5625,-59.6875,1.08
106.4375,-7.5625,-59.6875,1.11
106.4375,-7.5625,-59.6875,1.11
106.4375,-7.5625,-59.6875,1.15
106.4375,-7.5625,-59.6875,1.15
106.4375,-7.5625,-59.6875,1.18
106.4375,-7.5625,-59.6875,1.21
106.4375,-7.5625,-59.6875,1.21
106.4375,-7.5625,-59.6875,1.25
106.4375,-7.5625,-59.6875,1.25
106.4375,-7.5625,-59.6875,1.28
106.4375,-7.5625,-59.6875,1.31
106.4375,-7.5625,-59.6875,1.31
106.4375,-7.5625,-59.6875,1.35
106.4375,-7.5625,-59.6875,1.35
106.4375,-7.5625,-59.6875,1.38
106.4375,-7.5625,-59.6875,1.41
106.4375,-7.5625,-59.6875,1.41
106.4375,-7.5625,-59.625,1.45
106.4375,-7.5625,-59.625,1.45
106.4375,-7.5625,-59.625,1.48
106.4375,-7.5625,-59.625,1.51
106.4375,-7.5625,-59.625,1.51
106.4375,-7.5625,-59.625,1.54
106.4375,-7.5625,-59.625,1.54
106.4375,-7.5625,-59.625,1.58
106.4375,-7.5625,-59.625,1.61
106.4375,-7.5625,-59.625,1.61
106.4375,-7.5625,-59.625,1.65
106.4375,-7.5625,-59.625,1.65
106.4375,-7.5625,-59.625,1.68
106.4375,-7.5625,-59.625,1.71
106.4375,-7.5625,-59.625,1.71
106.5,-7.5625,-59.625,1.75
106.5,-7.5625,-59.625,1.75
106.5,-7.5625,-59.625,1.78
106.5,-7.5625,-59.5625,1.81
106.5,-7.5625,-59.5625,1.81
106.5,-7.5625,-59.5625,1.85
106.5,-7.5625,-59.5625,1.85
106.5,-7.625,-59.5625,1.88
106.5,-7.625,-59.5625,1.91
106.5,-7.625,-59.5625,1.91
106.5,-7.625,-59.5625,1.95
106.5,-7.625,-59.5625,1.95
106.5625,-7.625,-59.5625,1.98
106.5625,-7.625,-59.5625,2.01
106.5625,-7.625,-59.5625,2.01
106.5625,-7.625,-59.5625,2.05
106.5625,-7.625,-59.5625,2.05
106.625,-7.625,-59.5625,2.08
106.625,-7.625,-59.5625,2.11
106.625,-7.625,-59.5625,2.11
106.625,-7.625,-59.5625,2.15
106.625,-7.625,-59.5625,2.15
106.625,-7.625,-59.5625,2.18
106.625,-7.625,-59.5625,2.21
106.625,-7.625,-59.5625,2.21
106.625,-7.625,-59.5625,2.24
106.625,-7.625,-59.5625,2.24
106.625,-7.625,-59.5625,2.28
106.625,-7.625,-59.5625,2.31
106.625,-7.625,-59.5625,2.31
106.6875,-7.625,-59.5625,2.34
106.6875,-7.625,-59.5625,2.34
106.6875,-7.625,-59.5625,2.38
106.6875,-7.6875,-59.5625,2.41
106.6875,-7.6875,-59.5625,2.41
106.6875,-7.6875,-59.5625,2.44
106.6875,-7.6875,-59.5625,2.44
106.6875,-7.6875,-59.5625,2.48
106.6875,-7.6875,-59.625,2.51
106.6875,-7.6875,-59.625,2.51
106.6875,-7.6875,-59.625,2.55
106.6875,-7.6875,-59.625,2.55
106.75,-7.6875,-59.625,2.58
106.75,-7.6875,-59.625,2.61
106.75,-7.6875,-59.625,2.61
106.75,-7.6875,-59.625,2.65
106.75,-7.6875,-59.625,2.65
106.75,-7.6875,-59.625,2.68
106.75,-7.6875,-59.625,2.71
106.75,-7.6875,-59.625,2.71
106.75,-7.6875,-59.625,2.75
106.75,-7.6875,-59.625,2.75
106.75,-7.6875,-59.625,2.78
106.8125,-7.6875,-59.625,2.81
106.8125,-7.6875,-59.625,2.81
106.8125,-7.6875,-59.625,2.84
106.8125,-7.6875,-59.625,2.84
106.8125,-7.6875,-59.625,2.88
106.8125,-7.6875,-59.625,2.91
106.8125,-7.6875,-59.625,2.91
106.8125,-7.6875,-59.625,2.94
106.8125,-7.6875,-59.625,2.94
106.8125,-7.6875,-59.625,2.98
106.8125,-7.6875,-59.625,3.01
106.8125,-7.6875,-59.625,3.01
106.8125,-7.6875,-59.625,3.05
106.8125,-7.6875,-59.625,3.05
106.8125,-7.6875,-59.625,3.08
106.8125,-7.6875,-59.625,3.11
106.8125,-7.6875,-59.625,3.11
106.8125,-7.6875,-59.625,3.15
106.8125,-7.6875,-59.625,3.15
106.8125,-7.6875,-59.625,3.18
106.8125,-7.6875,-59.625,3.21
106.8125,-7.6875,-59.625,3.21
106.8125,-7.6875,-59.625,3.24
106.8125,-7.6875,-59.625,3.24
106.8125,-7.6875,-59.625,3.28
106.8125,-7.6875,-59.625,3.31
106.8125,-7.6875,-59.625,3.31
106.8125,-7.6875,-59.625,3.34
106.8125,-7.6875,-59.625,3.34
106.8125,-7.6875,-59.625,3.38
106.8125,-7.6875,-59.5625,3.41
106.8125,-7.6875,-59.5625,3.41
106.8125,-7.6875,-59.5625,3.45
106.8125,-7.6875,-59.5625,3.45
106.8125,-7.6875,-59.5625,3.48
106.8125,-7.6875,-59.5625,3.51
106.8125,-7.6875,-59.5625,3.51
106.8125,-7.6875,-59.5,3.55
106.8125,-7.6875,-59.5,3.55
106.8125,-7.6875,-59.5,3.58
106.8125,-7.6875,-59.5,3.61
106.8125,-7.6875,-59.5,3.61
106.8125,-7.6875,-59.4375,3.64
106.8125,-7.6875,-59.4375,3.64
106.8125,-7.6875,-59.4375,3.68
106.8125,-7.6875,-59.4375,3.71
106.8125,-7.6875,-59.4375,3.71
106.8125,-7.6875,-59.4375,3.75
106.8125,-7.6875,-59.4375,3.75
106.875,-7.6875,-59.375,3.78
106.875,-7.6875,-59.375,3.81
106.875,-7.6875,-59.375,3.81
106.875,-7.6875,-59.375,3.85
106.875,-7.6875,-59.375,3.85
106.875,-7.6875,-59.375,3.88
106.875,-7.6875,-59.3125,3.91
106.875,-7.6875,-59.3125,3.91
106.875,-7.6875,-59.3125,3.95
106.875,-7.6875,-59.3125,3.95
106.875,-7.6875,-59.3125,3.98
106.875,-7.6875,-59.25,4.01
106.875,-7.6875,-59.25,4.01
106.875,-7.6875,-59.25,4.05
106.875,-7.6875,-59.25,4.05
106.875,-7.6875,-59.25,4.08
106.875,-7.6875,-59.25,4.11
106.875,-7.6875,-59.25,4.11
106.875,-7.6875,-59.25,4.15
106.875,-7.6875,-59.25,4.15
106.875,-7.6875,-59.25,4.18
106.875,-7.6875,-59.25,4.21
