Participant Number:,14
Test started on:,04/06/2016 02:36:46 PM
Current Task:,NVRW Task 3
Task Start:,01:38:11 PM
Heading, Roll, Pitch, Task Time
207.0625,5.6875,-60.5625,0.07
206.9375,5.6875,-60.625,0.09
206.9375,5.6875,-60.625,0.12
206.9375,5.6875,-60.625,0.12
206.875,5.625,-60.625,0.15
206.875,5.625,-60.625,0.15
206.8125,5.625,-60.625,0.18
206.8125,5.625,-60.625,0.22
206.8125,5.625,-60.625,0.22
206.8125,5.625,-60.6875,0.25
206.8125,5.625,-60.6875,0.28
206.8125,5.625,-60.6875,0.28
206.75,5.5625,-60.6875,0.32
206.75,5.5625,-60.6875,0.32
206.75,5.5625,-60.6875,0.35
206.75,5.5625,-60.6875,0.35
206.6875,5.5625,-60.75,0.38
206.6875,5.5625,-60.75,0.41
206.6875,5.5625,-60.75,0.41
206.6875,5.5,-60.8125,0.45
206.6875,5.5,-60.8125,0.45
206.625,5.5,-60.8125,0.48
206.625,5.5,-60.8125,0.51
206.625,5.5,-60.8125,0.51
206.625,5.4375,-60.875,0.55
206.625,5.4375,-60.875,0.58
206.625,5.4375,-60.875,0.58
206.5625,5.4375,-60.9375,0.62
206.5625,5.4375,-60.9375,0.62
206.5625,5.4375,-60.9375,0.65
206.5625,5.4375,-60.9375,0.65
206.5,5.4375,-60.9375,0.68
206.5,5.4375,-60.9375,0.72
206.5,5.4375,-60.9375,0.72
206.5,5.4375,-61.0,0.75
206.4375,5.375,-61.0625,0.78
206.4375,5.375,-61.0625,0.78
206.4375,5.375,-61.0625,0.81
206.4375,5.375,-61.0625,0.81
206.375,5.375,-61.125,0.85
206.375,5.375,-61.125,0.85
206.375,5.375,-61.125,0.88
206.3125,5.375,-61.1875,0.91
206.3125,5.375,-61.1875,0.91
206.3125,5.375,-61.1875,0.95
206.3125,5.375,-61.1875,0.95
206.25,5.3125,-61.25,0.98
206.25,5.3125,-61.25,1.01
206.25,5.3125,-61.25,1.01
206.1875,5.3125,-61.3125,1.05
206.1875,5.3125,-61.3125,1.05
206.1875,5.3125,-61.3125,1.08
206.125,5.3125,-61.375,1.11
206.125,5.3125,-61.375,1.11
206.125,5.3125,-61.375,1.15
206.0625,5.3125,-61.4375,1.18
206.0625,5.3125,-61.4375,1.18
206.0625,5.3125,-61.4375,1.21
206.0625,5.3125,-61.4375,1.21
206.0,5.25,-61.5,1.25
206.0,5.25,-61.5,1.28
206.0,5.25,-61.5,1.28
205.9375,5.25,-61.625,1.32
205.9375,5.25,-61.625,1.32
205.9375,5.25,-61.625,1.35
205.875,5.25,-61.6875,1.38
205.875,5.25,-61.6875,1.38
205.8125,5.1875,-61.75,1.41
205.8125,5.1875,-61.75,1.41
205.8125,5.1875,-61.75,1.45
205.8125,5.1875,-61.75,1.45
205.8125,5.1875,-61.8125,1.48
205.8125,5.1875,-61.8125,1.52
205.8125,5.1875,-61.8125,1.52
205.75,5.125,-61.875,1.55
205.75,5.125,-61.875,1.58
205.75,5.125,-61.875,1.58
205.6875,5.125,-61.9375,1.61
205.6875,5.125,-61.9375,1.61
205.6875,5.125,-61.9375,1.65
205.6875,5.125,-61.9375,1.65
205.6875,5.0625,-62.0,1.68
205.625,5.0625,-62.0625,1.71
205.625,5.0625,-62.0625,1.71
205.625,5.0625,-62.0625,1.75
205.625,5.0625,-62.0625,1.75
205.625,5.0625,-62.125,1.78
205.625,5.0625,-62.125,1.82
205.625,5.0625,-62.125,1.82
205.625,5.0625,-62.125,1.85
205.5625,5.0,-62.1875,1.88
205.5625,5.0,-62.1875,1.88
205.5625,5.0,-62.1875,1.91
205.5625,5.0,-62.1875,1.91
205.5,5.0,-62.1875,1.95
205.5,5.0,-62.1875,1.95
205.5,5.0,-62.1875,1.98
205.4375,5.0,-62.1875,2.02
205.4375,5.0,-62.1875,2.02
205.4375,5.0,-62.1875,2.05
205.4375,5.0,-62.1875,2.05
205.375,5.0,-62.25,2.08
205.375,5.0,-62.25,2.12
205.375,5.0,-62.25,2.12
205.3125,5.0,-62.25,2.15
205.3125,5.0,-62.25,2.18
205.3125,5.0,-62.25,2.18
205.25,5.0,-62.3125,2.22
205.25,5.0,-62.3125,2.22
205.25,5.0,-62.3125,2.25
205.125,5.0,-62.3125,2.28
205.125,5.0,-62.3125,2.28
205.125,5.0,-62.3125,2.32
205.125,5.0,-62.3125,2.32
205.125,5.0,-62.3125,2.35
205.125,5.0,-62.3125,2.35
205.0625,5.0,-62.375,2.38
204.9375,4.9375,-62.375,2.42
204.9375,4.9375,-62.375,2.42
204.9375,4.9375,-62.375,2.45
204.9375,4.9375,-62.375,2.45
204.875,4.9375,-62.4375,2.48
204.875,4.9375,-62.4375,2.51
204.875,4.9375,-62.4375,2.51
204.75,4.9375,-62.4375,2.55
204.75,4.9375,-62.4375,2.55
204.75,4.9375,-62.4375,2.58
204.6875,4.875,-62.5,2.61
204.6875,4.875,-62.5,2.61
204.6875,4.875,-62.5,2.65
204.6875,4.875,-62.5,2.65
204.5625,4.875,-62.5,2.68
204.5,4.8125,-62.5625,2.72
204.5,4.8125,-62.5625,2.72
204.5,4.8125,-62.5625,2.75
204.5,4.8125,-62.5625,2.75
204.375,4.75,-62.5625,2.78
204.375,4.75,-62.5625,2.82
204.375,4.75,-62.5625,2.82
204.375,4.75,-62.5625,2.85
204.375,4.75,-62.5625,2.85
204.3125,4.75,-62.625,2.88
204.3125,4.75,-62.625,2.91
204.3125,4.75,-62.625,2.91
204.25,4.6875,-62.6875,2.95
204.25,4.6875,-62.6875,2.98
204.25,4.6875,-62.6875,2.98
204.25,4.6875,-62.6875,3.02
204.25,4.6875,-62.6875,3.02
204.1875,4.6875,-62.6875,3.05
204.125,4.625,-62.75,3.08
204.125,4.625,-62.75,3.08
204.125,4.625,-62.75,3.12
204.125,4.625,-62.75,3.12
204.0625,4.625,-62.75,3.15
204.0625,4.625,-62.75,3.15
204.0625,4.625,-62.75,3.18
204.0,4.5625,-62.75,3.22
204.0,4.5625,-62.75,3.22
204.0,4.5625,-62.75,3.25
204.0,4.5625,-62.8125,3.28
204.0,4.5625,-62.8125,3.28
204.0,4.5625,-62.8125,3.31
204.0,4.5625,-62.8125,3.31
203.9375,4.5,-62.8125,3.35
203.9375,4.5,-62.8125,3.35
203.875,4.5,-62.8125,3.38
203.875,4.5,-62.8125,3.41
203.875,4.5,-62.8125,3.41
203.875,4.5,-62.875,3.45
203.875,4.5,-62.875,3.48
203.875,4.5,-62.875,3.48
203.8125,4.5,-62.875,3.52
203.8125,4.5,-62.875,3.52
203.8125,4.5,-62.875,3.55
203.8125,4.5,-62.875,3.55
203.8125,4.4375,-62.875,3.58
203.8125,4.4375,-62.875,3.62
203.8125,4.4375,-62.875,3.62
203.8125,4.4375,-62.875,3.65
203.8125,4.4375,-62.875,3.65
203.75,4.4375,-62.875,3.68
203.75,4.4375,-62.9375,3.71
203.75,4.4375,-62.9375,3.71
203.75,4.4375,-62.9375,3.75
203.75,4.4375,-62.9375,3.75
203.75,4.4375,-63.0,3.78
203.75,4.4375,-63.0,3.82
203.75,4.4375,-63.0,3.82
203.75,4.4375,-63.0625,3.85
203.75,4.4375,-63.0625,3.85
203.75,4.4375,-63.0625,3.88
203.6875,4.375,-63.125,3.92
203.6875,4.375,-63.125,3.92
203.6875,4.375,-63.125,3.95
203.6875,4.375,-63.1875,3.98
203.6875,4.375,-63.1875,3.98
203.6875,4.375,-63.1875,4.02
203.6875,4.375,-63.1875,4.02
203.6875,4.375,-63.25,4.05
203.6875,4.375,-63.25,4.08
203.6875,4.375,-63.25,4.08
203.6875,4.375,-63.3125,4.11
203.6875,4.375,-63.3125,4.11
203.6875,4.375,-63.3125,4.15
203.6875,4.375,-63.375,4.18
203.6875,4.375,-63.375,4.18
203.6875,4.375,-63.375,4.21
203.6875,4.375,-63.375,4.21
203.6875,4.375,-63.375,4.25
203.6875,4.375,-63.375,4.25
203.6875,4.375,-63.375,4.28
203.6875,4.375,-63.375,4.32
203.6875,4.375,-63.375,4.32
203.6875,4.375,-63.4375,4.35
203.6875,4.375,-63.4375,4.38
203.6875,4.375,-63.4375,4.38
203.6875,4.375,-63.4375,4.41
203.6875,4.375,-63.4375,4.41
