Participant Number:,6
Test started on:,04/04/2016 03:33:05 PM
Current Task:,VR Task 1
Task Start:,02:35:14 PM
Heading, Roll, Pitch, Task Time
246.25,-6.375,-51.875,0.03
246.25,-6.375,-51.875,0.04
246.3125,-6.375,-51.8125,0.07
246.375,-6.375,-51.75,0.08
246.4375,-6.375,-51.6875,0.11
246.4375,-6.375,-51.6875,0.12
246.5,-6.375,-51.5625,0.15
246.5,-6.375,-51.5625,0.16
246.5625,-6.375,-51.5,0.19
246.5625,-6.4375,-51.4375,0.20
246.625,-6.4375,-51.4375,0.23
246.625,-6.4375,-51.4375,0.24
246.625,-6.4375,-51.375,0.27
246.625,-6.4375,-51.375,0.28
246.625,-6.4375,-51.3125,0.31
246.625,-6.4375,-51.3125,0.32
246.625,-6.375,-51.3125,0.35
246.5625,-6.375,-51.25,0.36
246.5,-6.375,-51.25,0.39
246.5,-6.375,-51.25,0.40
246.4375,-6.375,-51.1875,0.43
246.4375,-6.375,-51.1875,0.44
246.375,-6.375,-51.1875,0.47
246.375,-6.375,-51.1875,0.48
246.3125,-6.375,-51.125,0.51
246.25,-6.375,-51.0625,0.52
246.1875,-6.375,-51.0625,0.55
246.125,-6.3125,-51.0,0.56
246.0625,-6.3125,-50.9375,0.59
246.0625,-6.3125,-50.9375,0.60
246.0625,-6.3125,-50.875,0.63
246.0,-6.3125,-50.875,0.64
245.9375,-6.25,-50.8125,0.67
245.875,-6.25,-50.8125,0.68
245.875,-6.25,-50.8125,0.71
245.8125,-6.25,-50.8125,0.72
245.75,-6.1875,-50.75,0.75
245.75,-6.1875,-50.75,0.76
245.625,-6.125,-50.6875,0.79
245.625,-6.125,-50.6875,0.80
245.5625,-6.0625,-50.6875,0.83
245.5,-6.0,-50.6875,0.84
245.4375,-5.9375,-50.625,0.87
245.4375,-5.9375,-50.625,0.88
245.375,-5.9375,-50.5625,0.91
245.3125,-5.875,-50.5625,0.92
245.25,-5.8125,-50.5,0.95
245.25,-5.8125,-50.5,0.96
245.1875,-5.75,-50.4375,0.99
245.125,-5.6875,-50.4375,1.00
245.0,-5.625,-50.375,1.03
244.9375,-5.5625,-50.3125,1.04
244.875,-5.5,-50.25,1.07
244.875,-5.5,-50.25,1.08
244.8125,-5.4375,-50.1875,1.11
244.6875,-5.375,-50.1875,1.12
244.625,-5.3125,-50.125,1.15
244.625,-5.3125,-50.0625,1.16
244.5625,-5.25,-50.0625,1.19
244.5625,-5.25,-50.0625,1.20
244.5,-5.25,-50.0625,1.23
244.5,-5.1875,-50.0625,1.24
244.4375,-5.125,-50.0625,1.27
244.4375,-5.125,-50.0625,1.28
244.375,-5.0625,-50.0625,1.31
244.375,-5.0625,-50.0625,1.32
244.3125,-5.0625,-50.0625,1.35
244.3125,-5.0625,-50.0625,1.36
244.3125,-5.0625,-50.0625,1.39
244.25,-5.0,-50.0625,1.40
244.25,-5.0,-50.0625,1.43
244.25,-5.0,-50.0625,1.44
244.1875,-5.0,-50.0625,1.47
244.125,-4.9375,-50.0625,1.48
244.0625,-4.875,-50.0,1.51
244.0625,-4.875,-50.0,1.52
243.875,-4.8125,-50.0,1.55
243.875,-4.8125,-50.0,1.56
243.75,-4.8125,-50.0,1.59
243.6875,-4.75,-50.0,1.60
243.5625,-4.75,-49.9375,1.63
243.5625,-4.75,-49.9375,1.64
243.25,-4.6875,-49.9375,1.67
243.25,-4.6875,-49.9375,1.68
243.125,-4.625,-49.9375,1.71
242.9375,-4.625,-49.9375,1.72
242.75,-4.5625,-49.875,1.75
242.75,-4.5625,-49.875,1.76
242.4375,-4.5,-49.875,1.79
242.4375,-4.5,-49.875,1.80
242.25,-4.5,-49.8125,1.83
242.0625,-4.4375,-49.8125,1.84
241.875,-4.375,-49.8125,1.87
241.875,-4.375,-49.8125,1.88
241.4375,-4.3125,-49.8125,1.91
241.4375,-4.3125,-49.8125,1.92
241.25,-4.3125,-49.75,1.95
241.0625,-4.25,-49.75,1.96
240.8125,-4.25,-49.75,1.99
240.8125,-4.25,-49.75,2.00
240.625,-4.25,-49.75,2.03
240.4375,-4.1875,-49.75,2.04
240.25,-4.1875,-49.75,2.07
240.25,-4.1875,-49.75,2.08
240.0625,-4.125,-49.75,2.11
239.9375,-4.125,-49.75,2.12
239.8125,-4.0625,-49.75,2.15
239.625,-4.0625,-49.75,2.16
239.5,-4.0,-49.75,2.19
239.5,-4.0,-49.75,2.20
239.375,-3.9375,-49.75,2.23
239.25,-3.9375,-49.75,2.24
239.125,-3.875,-49.75,2.27
239.0625,-3.8125,-49.6875,2.28
238.9375,-3.8125,-49.6875,2.31
238.9375,-3.8125,-49.6875,2.32
238.875,-3.75,-49.6875,2.35
238.75,-3.6875,-49.625,2.36
238.6875,-3.6875,-49.625,2.39
238.625,-3.625,-49.5625,2.40
238.5625,-3.5625,-49.5625,2.43
238.5625,-3.5625,-49.5625,2.44
238.5625,-3.5625,-49.5625,2.47
238.5,-3.5,-49.5,2.48
238.5,-3.4375,-49.5,2.51
238.4375,-3.4375,-49.4375,2.52
238.4375,-3.375,-49.4375,2.55
238.4375,-3.375,-49.4375,2.56
238.4375,-3.3125,-49.4375,2.59
238.4375,-3.3125,-49.4375,2.60
238.4375,-3.25,-49.375,2.63
238.4375,-3.25,-49.375,2.64
238.4375,-3.25,-49.375,2.67
238.4375,-3.25,-49.375,2.68
238.5,-3.25,-49.3125,2.71
238.5,-3.1875,-49.3125,2.72
238.5625,-3.1875,-49.3125,2.75
238.5625,-3.1875,-49.3125,2.76
238.625,-3.1875,-49.3125,2.79
238.625,-3.1875,-49.3125,2.80
238.6875,-3.25,-49.25,2.83
238.6875,-3.25,-49.25,2.84
238.75,-3.25,-49.25,2.87
238.8125,-3.25,-49.3125,2.88
238.8125,-3.25,-49.3125,2.91
238.8125,-3.25,-49.3125,2.92
238.875,-3.25,-49.3125,2.95
238.9375,-3.25,-49.3125,2.96
238.9375,-3.3125,-49.3125,2.99
239.0,-3.3125,-49.3125,3.00
239.0625,-3.3125,-49.3125,3.03
239.0625,-3.3125,-49.3125,3.04
239.0625,-3.375,-49.3125,3.07
239.125,-3.375,-49.3125,3.08
239.1875,-3.375,-49.25,3.11
239.1875,-3.375,-49.25,3.12
239.25,-3.4375,-49.25,3.15
239.25,-3.4375,-49.25,3.16
239.25,-3.4375,-49.25,3.19
239.3125,-3.4375,-49.25,3.20
239.3125,-3.4375,-49.1875,3.23
239.375,-3.4375,-49.1875,3.24
239.375,-3.4375,-49.1875,3.27
239.375,-3.4375,-49.1875,3.28
239.375,-3.4375,-49.125,3.31
239.375,-3.4375,-49.125,3.32
239.4375,-3.5,-49.125,3.35
239.4375,-3.5,-49.0625,3.36
239.4375,-3.5,-49.0625,3.39
239.4375,-3.5,-49.0625,3.40
239.5,-3.5,-49.0625,3.43
239.5,-3.5625,-49.0,3.44
239.5,-3.5625,-49.0,3.47
239.5625,-3.5625,-49.0,3.48
239.5625,-3.5625,-49.0,3.51
239.5625,-3.5625,-49.0,3.52
239.5625,-3.5625,-49.0,3.55
239.5625,-3.5625,-49.0,3.56
239.625,-3.625,-49.0,3.59
239.625,-3.625,-49.0,3.60
239.6875,-3.6875,-48.9375,3.63
239.6875,-3.6875,-48.9375,3.64
239.75,-3.75,-48.9375,3.67
239.75,-3.75,-48.9375,3.68
239.8125,-3.75,-48.9375,3.71
239.8125,-3.8125,-48.9375,3.72
239.875,-3.8125,-48.9375,3.75
239.9375,-3.875,-48.9375,3.76
240.0,-3.875,-48.9375,3.79
240.0,-3.875,-48.9375,3.80
240.0,-3.9375,-48.9375,3.83
240.0625,-3.9375,-48.9375,3.84
240.125,-3.9375,-48.9375,3.87
240.1875,-4.0,-48.9375,3.88
240.1875,-4.0,-48.9375,3.91
240.1875,-4.0,-48.9375,3.92
240.25,-4.0,-48.9375,3.95
240.3125,-4.0625,-48.9375,3.96
240.375,-4.0625,-48.9375,3.99
240.375,-4.0625,-48.9375,4.00
240.4375,-4.0625,-48.875,4.03
