Participant Number:,8
Test started on:,04/05/2016 11:41:41 AM
Current Task:,NVR Task 2
Task Start:,10:43:07 AM
Heading, Roll, Pitch, Task Time
190.75,1.125,-47.3125,0.03
190.75,1.125,-47.3125,0.05
190.75,1.125,-47.3125,0.05
190.875,1.0625,-47.3125,0.09
190.875,1.0625,-47.3125,0.12
190.875,1.0625,-47.3125,0.12
190.9375,1.0625,-47.3125,0.15
190.9375,1.0625,-47.3125,0.15
190.9375,1.0625,-47.3125,0.19
191.0625,1.0,-47.3125,0.22
191.0625,1.0,-47.3125,0.22
191.125,1.0,-47.3125,0.25
191.125,1.0,-47.3125,0.25
191.125,1.0,-47.3125,0.29
191.1875,1.0,-47.375,0.32
191.1875,1.0,-47.375,0.32
191.1875,1.0,-47.375,0.35
191.1875,1.0,-47.375,0.35
191.25,0.9375,-47.375,0.39
191.25,0.9375,-47.375,0.42
191.25,0.9375,-47.375,0.42
191.3125,0.9375,-47.375,0.45
191.3125,0.9375,-47.375,0.45
191.3125,0.9375,-47.375,0.49
191.375,0.875,-47.4375,0.52
191.375,0.875,-47.4375,0.52
190.8125,0.875,-47.4375,0.55
190.8125,0.875,-47.4375,0.55
190.8125,0.875,-47.4375,0.59
190.875,0.875,-47.4375,0.62
190.875,0.875,-47.4375,0.62
190.875,0.875,-47.4375,0.65
190.875,0.875,-47.4375,0.65
190.9375,0.8125,-47.5,0.69
190.9375,0.8125,-47.5,0.72
190.9375,0.8125,-47.5,0.72
190.9375,0.8125,-47.5,0.75
190.9375,0.8125,-47.5,0.75
190.9375,0.8125,-47.5,0.79
191.0,0.8125,-47.5,0.82
191.0,0.8125,-47.5,0.82
191.0,0.75,-47.5625,0.85
191.0,0.75,-47.5625,0.85
191.0,0.75,-47.5625,0.89
191.0625,0.75,-47.5625,0.92
191.0625,0.75,-47.5625,0.92
191.0625,0.75,-47.5625,0.95
191.0625,0.75,-47.5625,0.95
191.0625,0.75,-47.5625,0.98
191.0625,0.75,-47.5625,1.02
191.0625,0.75,-47.5625,1.02
191.0625,0.75,-47.5625,1.05
191.0625,0.75,-47.5625,1.05
191.0625,0.75,-47.5625,1.09
191.0625,0.75,-47.5625,1.12
191.0625,0.75,-47.5625,1.12
191.0625,0.75,-47.5625,1.15
191.0625,0.75,-47.5625,1.15
191.0625,0.75,-47.5625,1.19
191.0625,0.75,-47.5625,1.22
191.0625,0.75,-47.5625,1.22
191.0625,0.75,-47.5625,1.25
191.0625,0.75,-47.5625,1.25
191.0625,0.75,-47.5625,1.29
191.0625,0.75,-47.5625,1.32
191.0625,0.75,-47.5625,1.32
191.0625,0.75,-47.5625,1.35
191.0625,0.75,-47.5625,1.35
191.0,0.75,-47.5625,1.39
191.0,0.75,-47.5625,1.42
191.0,0.75,-47.5625,1.42
191.0,0.75,-47.5625,1.45
191.0,0.75,-47.5625,1.45
190.9375,0.75,-47.5625,1.49
190.9375,0.75,-47.5625,1.49
190.9375,0.75,-47.5625,1.52
190.9375,0.75,-47.5625,1.55
190.9375,0.75,-47.5625,1.55
190.9375,0.75,-47.5625,1.59
190.875,0.75,-47.5625,1.62
190.875,0.75,-47.5625,1.62
190.875,0.75,-47.5625,1.65
190.875,0.75,-47.5625,1.65
190.8125,0.6875,-47.625,1.69
190.8125,0.6875,-47.625,1.72
190.8125,0.6875,-47.625,1.72
190.8125,0.6875,-47.625,1.75
190.8125,0.6875,-47.625,1.75
190.75,0.625,-47.625,1.79
190.75,0.625,-47.625,1.82
190.75,0.625,-47.625,1.82
190.75,0.625,-47.625,1.85
190.75,0.625,-47.625,1.85
190.75,0.625,-47.625,1.89
190.6875,0.5625,-47.625,1.92
190.6875,0.5625,-47.625,1.92
190.6875,0.5625,-47.625,1.95
190.6875,0.5625,-47.625,1.95
190.6875,0.5625,-47.6875,1.99
190.6875,0.5625,-47.6875,2.02
190.6875,0.5625,-47.6875,2.02
190.6875,0.5625,-47.6875,2.05
190.6875,0.5625,-47.6875,2.05
190.6875,0.5,-47.6875,2.09
190.6875,0.5,-47.6875,2.12
190.6875,0.5,-47.6875,2.12
190.6875,0.5,-47.75,2.15
190.6875,0.5,-47.75,2.15
190.6875,0.5,-47.75,2.19
190.6875,0.5,-47.75,2.22
190.6875,0.5,-47.75,2.22
190.6875,0.5,-47.75,2.25
190.6875,0.5,-47.75,2.25
190.6875,0.5,-47.75,2.29
190.6875,0.5,-47.75,2.32
190.6875,0.5,-47.75,2.32
190.6875,0.5,-47.8125,2.35
190.6875,0.5,-47.8125,2.35
190.6875,0.5,-47.8125,2.39
190.6875,0.5,-47.8125,2.42
190.6875,0.5,-47.8125,2.42
190.6875,0.5,-47.8125,2.45
190.6875,0.5,-47.8125,2.45
190.6875,0.5,-47.8125,2.49
190.6875,0.5,-47.875,2.52
190.6875,0.5,-47.875,2.52
190.6875,0.5,-47.875,2.55
190.6875,0.5,-47.875,2.55
190.6875,0.5,-47.875,2.59
190.6875,0.5,-47.875,2.62
190.6875,0.5,-47.875,2.62
190.6875,0.5,-47.875,2.65
190.6875,0.5,-47.875,2.65
190.6875,0.5,-47.9375,2.69
190.6875,0.5,-47.9375,2.72
190.6875,0.5,-47.9375,2.72
190.6875,0.5,-47.9375,2.75
190.6875,0.5,-47.9375,2.75
190.6875,0.5,-47.9375,2.79
190.625,0.5,-48.0,2.82
190.625,0.5,-48.0,2.82
190.625,0.5,-48.0,2.85
190.625,0.5,-48.0,2.85
190.625,0.5,-48.0,2.89
190.625,0.5,-48.0,2.92
190.625,0.5,-48.0,2.92
190.625,0.5,-48.0,2.95
190.625,0.5,-48.0,2.95
190.625,0.5,-48.0625,2.99
190.625,0.5,-48.0625,3.02
190.625,0.5,-48.0625,3.02
190.625,0.5625,-48.0625,3.05
190.625,0.5625,-48.0625,3.05
190.625,0.5625,-48.0625,3.09
